Motor,Voltage,Propeller,Throttle,Amps,Watts,Thrust,RPM,Efficiency
BlueEnergy6015Kv250,22.2,2490,50%,7.91,176.3,1960,,11.12
BlueEnergy6015Kv250,22.2,2490,55%,10.52,233.7,2390,,10.23
BlueEnergy6015Kv250,22.2,2490,60%,12.7,281.5,2740,,9.73
BlueEnergy6015Kv250,22.2,2490,65%,15.83,349.8,3130,,8.95
BlueEnergy6015Kv250,22.2,2490,70%,18.75,412,3440,,8.35
BlueEnergy6015Kv250,22.2,2490,75%,21.97,481.7,3920,,8.14
BlueEnergy6015Kv250,22.2,2490,80%,25.93,556.2,4320,,7.77
BlueEnergy6015Kv250,22.2,2490,85%,28.54,620.4,4590,,7.4
BlueEnergy6015Kv250,22.2,2490,90%,32.08,691.6,4810,,6.95
BlueEnergy6015Kv250,22.2,2490,95%,36.25,777,5240,,6.74
BlueEnergy6015Kv250,22.2,2490,100%,39.27,839.5,5530,,6.59
BlueEnergy6015Kv250,22.2,2280,50%,6.56,146.5,1620,,11.06
BlueEnergy6015Kv250,22.2,2280,55%,8.54,190.2,1970,,10.36
BlueEnergy6015Kv250,22.2,2280,60%,10.83,240.6,2290,,9.52
BlueEnergy6015Kv250,22.2,2280,65%,13.02,288.4,2610,,9.05
BlueEnergy6015Kv250,22.2,2280,70%,15.62,345.2,2970,,8.6
BlueEnergy6015Kv250,22.2,2280,75%,18.54,407.4,3300,,8.1
BlueEnergy6015Kv250,22.2,2280,80%,21.45,470.2,3600,,7.66
BlueEnergy6015Kv250,22.2,2280,85%,23.95,521.3,3820,,7.33
BlueEnergy6015Kv250,22.2,2280,90%,27.35,595.4,4210,,7.07
BlueEnergy6015Kv250,22.2,2280,95%,30.52,659.7,4540,,6.88
BlueEnergy6015Kv250,22.2,2280,100%,33.54,723,4830,,6.68
BlueEnergy6015Kv250,22.2,2692,50%,9.68,215.7,2270,,10.52
BlueEnergy6015Kv250,22.2,2692,55%,12.5,276.9,2710,,9.79
BlueEnergy6015Kv250,22.2,2692,60%,15,331.4,3060,,9.23
BlueEnergy6015Kv250,22.2,2692,65%,18.22,400.6,3510,,8.76
BlueEnergy6015Kv250,22.2,2692,70%,21.35,468,3770,,8.06
BlueEnergy6015Kv250,22.2,2692,75%,24.68,538.1,4170,,7.75
BlueEnergy6015Kv250,22.2,2692,80%,28.54,618.6,4510,,7.29
BlueEnergy6015Kv250,22.2,2692,85%,33.02,711.8,4960,,6.97
BlueEnergy6015Kv250,22.2,2692,90%,36.97,790.5,5250,,6.64
BlueEnergy6015Kv250,22.2,2692,95%,41.25,876.8,5700,,6.5
BlueEnergy6015Kv250,22.2,2692,100%,45,948.5,6070,,6.4
