Item,Volts,Prop,Throttle,Amps,Watts,Thrust,RPM,Efficiency
U10KV170,24.3,3010,50,6.7,162.81,2.7,1875,16.58375
U10KV170,24.1,3010,60,10.3,248.23,3.8,2142.6,15.30838
U10KV170,23.8,3010,70,16,380.8,5.1,2499,13.39286
U10KV170,23.6,3010,80,20.9,493.24,6.1,2640,12.3672
U10KV170,23.1,3010,90,27.5,635.25,7.1,2880,11.1767
U10KV170,22.7,3010,100,34.9,792.23,8.3,3000,10.47676
U10KV170,25.2,,50,6.8,171.36,3.4,1899,19.84127
U10KV170,25.1,,60,10.7,268.57,4.7,2112,17.50009
U10KV170,24.9,,70,16.4,408.36,6.3,2541,15.42756
U10KV170,24.6,,80,22.1,543.66,7.7,2778,14.16326
U10KV170,24.3,,90,28.8,699.84,9.1,3000,13.00297
U10KV170,23.9,,100,36.5,872.35,9.7,3258,11.11939
U10KV170,36,,50,12.8,460.8,6.3,2586,13.67188
U10KV170,35.5,,60,19.3,685.15,8.1,3000,11.82223
U10KV170,34.6,,70,26.9,930.74,9.8,3333,10.52926
U10KV170,33.6,,80,36,1209.6,11.7,3657,9.672619
