Motor,Voltage,Propeller,Throttle,Amps,Watts,Thrust,RPM,Moment,Efficiency
TMotorU8liteKV150,48,2266,40%,3.3,158.4,1702,2925,0.46,10.74
TMotorU8liteKV150,48,2266,42%,3.7,177.6,1839,3017,0.5,10.35
TMotorU8liteKV150,48,2266,44%,4,192,1987,3134,0.52,10.35
TMotorU8liteKV150,48,2266,46%,4.4,211.2,2121,3234,0.55,10.04
TMotorU8liteKV150,48,2266,48%,4.8,230.4,2267,3340,0.57,9.84
TMotorU8liteKV150,48,2266,50%,5.2,249.6,2376,3431,0.6,9.52
TMotorU8liteKV150,48,2266,52%,5.6,268.8,2511,3531,0.62,9.34
TMotorU8liteKV150,48,2266,54%,6.3,302.4,2717,3659,0.69,8.98
TMotorU8liteKV150,48,2266,56%,6.8,326.4,2879,3765,0.71,8.82
TMotorU8liteKV150,48,2266,58%,7.2,345.6,3022,3840,0.73,8.74
TMotorU8liteKV150,48,2266,60%,7.9,379.2,3218,3984,0.78,8.49
TMotorU8liteKV150,48,2266,62%,8.6,412.8,3397,4074,0.82,8.23
TMotorU8liteKV150,48,2266,64%,9.2,441.6,3538,4188,0.85,8.01
TMotorU8liteKV150,48,2266,66%,9.8,470.4,3696,4275,0.88,7.86
TMotorU8liteKV150,48,2266,68%,10.3,494.4,3826,4333,0.9,7.74
TMotorU8liteKV150,48,2266,70%,10.8,518.4,3967,4427,0.92,7.65
TMotorU8liteKV150,48,2266,75%,12.8,614.4,4439,4686,1.02,7.22
TMotorU8liteKV150,48,2266,80%,14.4,691.2,4879,4886,1.08,7.06
TMotorU8liteKV150,48,2266,90%,19.6,940.8,5921,5373,1.32,6.29
TMotorU8liteKV150,48,2266,100%,26.5,1272,7243,5924,1.62,5.69
TMotorU8liteKV150,24,30105,40%,3.8,91.2,1551,1321,0.54,17.01
TMotorU8liteKV150,24,30105,42%,4.3,103.2,1684,1374,0.59,16.32
TMotorU8liteKV150,24,30105,44%,4.6,110.4,1766,1418,0.6,16
TMotorU8liteKV150,24,30105,46%,5,120,1850,1457,0.63,15.42
TMotorU8liteKV150,24,30105,48%,5.7,136.8,1991,1513,0.69,14.55
TMotorU8liteKV150,24,30105,50%,6.2,148.8,2132,1560,0.73,14.33
TMotorU8liteKV150,24,30105,52%,6.7,160.8,2256,1603,0.76,14.03
TMotorU8liteKV150,24,30105,54%,7.4,177.6,2420,1663,0.81,13.63
TMotorU8liteKV150,24,30105,56%,7.9,189.6,2536,1699,0.84,13.38
TMotorU8liteKV150,24,30105,58%,8.5,204,2676,1743,0.87,13.12
TMotorU8liteKV150,24,30105,60%,9.2,220.8,2816,1793,0.91,12.75
TMotorU8liteKV150,24,30105,62%,9.8,235.2,2923,1838,0.94,12.43
TMotorU8liteKV150,24,30105,64%,10.7,256.8,3097,1886,1,12.06
TMotorU8liteKV150,24,30105,66%,11.5,276,3229,1924,1.05,11.7
TMotorU8liteKV150,24,30105,68%,12.1,290.4,3334,1967,1.07,11.48
TMotorU8liteKV150,24,30105,70%,12.9,309.6,3475,2007,1.11,11.22
TMotorU8liteKV150,24,30105,75%,15.4,369.6,3917,2120,1.24,10.6
TMotorU8liteKV150,24,30105,80%,17.5,420,4237,2204,1.33,10.09
TMotorU8liteKV150,24,30105,90%,22.8,547.2,5020,2383,1.55,9.17
TMotorU8liteKV150,24,30105,100%,29.7,712.8,5912,2573,1.83,8.29
TMotorU8liteKV150,24,2995,40%,3.2,76.8,1296,1363,0.45,16.88
TMotorU8liteKV150,24,2995,42%,3.6,86.4,1416,1419,0.48,16.39
TMotorU8liteKV150,24,2995,44%,3.9,93.6,1509,1454,0.5,16.12
TMotorU8liteKV150,24,2995,46%,4.4,105.6,1654,1501,0.55,15.66
TMotorU8liteKV150,24,2995,48%,4.7,112.8,1728,1554,0.56,15.32
TMotorU8liteKV150,24,2995,50%,5.2,124.8,1833,1610,0.6,14.69
TMotorU8liteKV150,24,2995,52%,5.8,139.2,2006,1652,0.65,14.41
TMotorU8liteKV150,24,2995,54%,6.3,151.2,2128,1698,0.68,14.07
TMotorU8liteKV150,24,2995,56%,6.9,165.6,2243,1756,0.72,13.54
TMotorU8liteKV150,24,2995,58%,7.6,182.4,2357,1804,0.77,12.95
TMotorU8liteKV150,24,2995,60%,8,192,2486,1849,0.79,12.92
TMotorU8liteKV150,24,2995,62%,8.6,206.4,2612,1884,0.82,12.66
TMotorU8liteKV150,24,2995,64%,9.1,218.4,2707,1941,0.84,12.39
TMotorU8liteKV150,24,2995,66%,9.8,235.2,2862,1989,0.88,12.17
TMotorU8liteKV150,24,2995,68%,10.5,252,2995,2020,0.92,11.88
TMotorU8liteKV150,24,2995,70%,11.5,276,3142,2071,0.98,11.38
TMotorU8liteKV150,24,2995,75%,13.2,316.8,3469,2188,1.06,10.95
TMotorU8liteKV150,24,2995,80%,15.2,364.8,3774,2284,1.15,10.35
TMotorU8liteKV150,24,2995,90%,19.8,475.2,4536,2484,1.34,9.55
TMotorU8liteKV150,24,2995,100%,26.2,628.8,5378,2712,1.61,8.55
